Timestamp,What is your Slippi connect code? (e.g. IOWA#137)
12/26/2022 17:39:18,CRAK#689
12/26/2022 17:39:32,FOOL#223
12/26/2022 17:39:44,NIFF#530
12/26/2022 17:48:06,SMOK#157
12/26/2022 17:49:10,MOOC#881
12/26/2022 18:01:02,CRM#855
12/26/2022 18:13:34,SLOW#189
12/26/2022 18:15:09,GRAY#119
12/26/2022 18:21:57,FISH#300
12/26/2022 18:24:09,CARD#999
12/26/2022 18:27:07,PSYR#967
12/26/2022 18:36:32,BOOB#322
12/26/2022 19:02:32,PLWG#588
12/26/2022 19:39:03,WOMP#420
12/26/2022 21:35:54,SEAMUS#1
12/26/2022 21:36:31,MARS#638
12/26/2022 22:38:01,GABO#610
12/26/2022 23:28:21,MAPL#518
12/28/2022 1:38:29,MG#542
12/29/2022 13:30:24,ROCK#187
12/31/2022 1:20:17,CARD#914
12/31/2022 1:24:03,CRM#137
1/2/2023 0:24:10,TSTF#653
1/3/2023 23:23:31,BOIG#591
1/7/2023 2:04:07,ZYKO#879
1/21/2023 10:43:05,DIGL#137
2/28/2023 13:59:09,SPCY#559
8/22/2023 18:05:35,DOOF#474
8/22/2023 19:14:11,BLADE#0
8/27/2023 14:10:32,DIO#903
12/15/2023 23:09:14,LOMO#524
12/16/2023 10:14:09,JESE#493
1/2/2024 13:08:22,SABR#137
2/2/2024 14:59:41,HANA#137
2/7/2024 13:21:41,TDUB#144
2/7/2024 17:46:57,FISH#998
5/10/2024 0:16:46,KIRB#230
5/10/2024 3:10:36,MOOJ#405
5/26/2024 23:09:45,POPS#885
6/21/2024 21:57:06,JESE#493
7/15/2024 21:51:04,DRON#137
8/15/2024 12:39:05,SOPO#520
8/26/2024 21:26:59,EERR#881
8/27/2024 19:10:03,BW#762
8/27/2024 20:12:35,KEF#0
9/28/2024 18:56:55,ABLE#762
9/29/2024 15:45:32,ARGON#18
10/12/2024 21:45:12,ASHE#823
10/17/2024 10:35:52,LULW#868
10/18/2024 14:25:29,LILR#583
3/20/2025 15:26:57,FUNK#137
4/22/2025 18:19:06,WEND#1
11/11/2025 11:11:11,SOOP#362
1/6/2026 01:01:01,TRE#155
1/6/2026 02:02:02,ROBBIE#0
1/19/2026 01:01:01,BLUE#127
1/19/2026 02:02:02,SOTH#889
1/27/2026 01:01:01,DULL#0
